Dấu thời gian,1. EVALUATION SESSION DETAILS,DATE,SIM REGISTRATION,MODULE,TRAINEE RANK,"EVALUATION INTEGRITY (Day 1 Only)
LOW = Not effective / not operationally representative / significant gap
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [Assessment reflected VNA operational standards]","EVALUATION INTEGRITY (Day 1 Only)
LOW = Not effective / not operationally representative / significant gap
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [Assessment criteria were clearly briefed and debriefed]","EVALUATION INTEGRITY (Day 1 Only)
LOW = Not effective / not operationally representative / significant gap
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [Competencies were evaluated fairly (not task-based)]","EVALUATION INTEGRITY (Day 1 Only)
LOW = Not effective / not operationally representative / significant gap
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [Scenarios enabled demonstration of overall competency]","EVALUATION INTEGRITY (Day 1 Only)
LOW = Not effective / not operationally representative / significant gap
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [Operational and environmental conditions were appropriate and]","EVALUATION INTEGRITY (Day 1 Only)
LOW = Not effective / not operationally representative / significant gap
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [Representative of real operations]","EVALUATION INTEGRITY (Day 1 Only)
LOW = Not effective / not operationally representative / significant gap
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [The examiner allowed me to perform without unnecessary interventions]","EVALUATION COMMENTS:
Was the evaluation realistic, fair, and representative of operational performance?
If not, explain what reduced assessment validity in the next question.",Explain what reduced assessment validity:,DATE,SIM REGISTRATION:,MODULE:,TRAINEE RANK:,"TRAINING EFFECTIVENESS (Day 2 Only)
LOW = Not effective / not operationally representative / significant gap
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [Training effectively address any identified weaknesses identified during Day 1 evaluation]","TRAINING EFFECTIVENESS (Day 2 Only)
LOW = Not effective / not operationally representative / significant gap
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [Decision-making (PSD) and Situation Awareness (SAW) improved compared to Day 1]","TRAINING EFFECTIVENESS (Day 2 Only)
LOW = Not effective / not operationally representative / significant gap
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [Workload management (WLM) and CRM (COM/LTW) were effectively developed]","TRAINING EFFECTIVENESS (Day 2 Only)
LOW = Not effective / not operationally representative / significant gap
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [Automation and manual flight path management (FPA/FPM) improved]","TRAINING EFFECTIVENESS (Day 2 Only)
LOW = Not effective / not operationally representative / significant gap
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [Instructor used facilitation and coaching (not directing)]","TRAINING EFFECTIVENESS (Day 2 Only)
LOW = Not effective / not operationally representative / significant gap
MED = Partially effective / acceptable with improvement needed
HIGH = Effective / operationally representative / meets expected standard [Debrief effectively linked performance gaps to operational improvement]","INSTRUCTION COMMENTS:
What would have improved your learning during this session (e.g. scenario design, instructor method, level of challenge)?",TRAINING SYSTEM RISK:,PRIMARY THREAT,FREQUENCY,MANAGED,"4. TRAINEE REFLECTION:
Did the SIM sessions improve your competencies for future similar operational situation(s)?","5. SUMMARY:
What should VNA CHANGE to improve checking/training effectiveness and operational safety?"
21/05/2026 17:06:01,TRAN DINH SONG NGUYEN10,05/05/2026,VN-001,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,06/05/2026,VN-001,4B,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,Scenario design,Technical data/FlySmart/Lido mPilot issue,OPERATIONAL,RARE,YES,"Yes, alot",
21/05/2026 17:20:46,RECCURENT SIM,13/03/2026,VN-001,3A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,14/03/2026,VN-018,3B,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,Scenario design,Non,ENVIRONMENT,OCCASIONAL,YES,Yes,
21/05/2026 17:23:40,REC SIM 3AB,03/11/2025,VN-018,3A,DPE,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,04/11/2025,VN-001,3B,DPE,MED,MED,MED,MED,HIGH,MED,Instructor should utilize deeper facilitation to help the crew bridge gaps in knowledge.,"Simulator limitation (faults, equipment, supplies)",TECHNICAL,OCCASIONAL,YES,Yes,Better instructor standardization as EBT level increases 
21/05/2026 17:24:07,Recurrent 4AB,17/05/2026,VN-001,4A,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,18/05/2026,VN-018,4B,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,High workload improvement,,ENVIRONMENT,OCCASIONAL,YES,Yes,None
21/05/2026 17:29:06,SIM REC 4AB,17/04/2026,VN-018,4A,DPE,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,18/04/2026,VN-018,4B,DPE,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,No recommendations for this session.,"Simulator limitation (faults, equipment, supplies)",TECHNICAL,OCCASIONAL,YES,Yes,Issue training notices on a regular basis to improve instructor and pilot knowledge 
21/05/2026 17:34:38,4AB,08/05/2026,VN-018,4A,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,09/05/2026,VN-001,4B,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,None,"Scenario unrealistic, Unrealistic timing",TECHNICAL,RARE,YES,Yes,Yes
21/05/2026 17:38:33,OPC,19/05/2026,VN-018,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,20/05/2026,VN-001,4B,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,"2 buồng sim đã xuống cấp nhiều' nếu được bảo dưỡng tốt hơnthì tổ bay sẽ có những kỳ huấn luyện định kỳ hiệu quá bà chất lượng hơn
","Scenario unrealistic, Insufficient challenge, Simulator limitation (faults, equipment, supplies)",TECHNICAL,OCCASIONAL,YES,Yes,Better sim maintanance
21/05/2026 17:38:36,SIM,08/05/2026,VN-018,4A,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,09/05/2026,VN-001,4B,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,None,"Scenario unrealistic, Unrealistic timing",TECHNICAL,RARE,YES,Yes,Yes
21/05/2026 17:53:52,Sim 4AB,07/05/2026,VN-001,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,08/05/2026,VN-018,4B,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,Nope,,TECHNICAL,RARE,YES,Yes,Nope
21/05/2026 18:24:46,4AB,10/05/2026,VN-018,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,11/05/2026,VN-018,4B,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,Nil,,TECHNICAL,RARE,YES,Yes,
21/05/2026 19:05:41,Recurrent 4AB,13/05/2026,VN-018,4A,LSC,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,14/05/2026,VN-018,4B,LSC,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,Nil,"Simulator limitation (faults, equipment, supplies), Simulator scheduling",TECHNICAL,OCCASIONAL,YES,Yes,Improve facility quality
21/05/2026 19:16:48,4b,09/05/2026,VN-018,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,10/05/2026,VN-001,4B,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,"Scenario design, instructor method, level of challenge, encouragement of instructor.",,TECHNICAL,FREQUENT,YES,Yes,Effective so far
21/05/2026 20:55:39,LPC,19/05/2026,VN-018,4A,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,NO,,20/05/2026,VN-018,4B,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,    Everything was well conducted and effective.,No training system risk identified.,ENVIRONMENT,OCCASIONAL,YES,"Yes, the SIM sessions were beneficial and relevant to line operations.",Current training and checking standards are effective.
21/05/2026 21:37:36,Reccurence 4A,19/05/2026,VN-018,4A,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,20/05/2026,VN-001,4B,CAPTAIN,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,"Very good session overall, other review abnormal procedure, also understood of none technical skill between flight crew and cabin crew in case emergency and high risk of security ! Very challenge from instructor but the outcome is great ! Thanks to the instructor !","Simulator limitation (faults, equipment, supplies), The Sim vn001 need to fix alot of issues to improve training quality !",TECHNICAL,FREQUENT,YES,Yes for sure !,"Nil, all good for now"
22/05/2026 5:37:19,Good ,11/05/2026,VN-001,4A,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,YES,,12/05/2026,VN-001,4B,FO,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,Scenario design and instructor method ,,TECHNICAL,RARE,YES,Yes ,
